loc,long,lat,region,date,type,descr,deaths,death_stat,source
Batajnica,20.2542,44.9346,Serbia,5/3/1999,military facility,airport,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Batajnica,20.2542,44.9346,Serbia,5/7/1999,military facility,airport,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Batajnica,20.2542,44.9346,Serbia,5/13/1999,military facility,airport,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Batajnica,20.2542,44.9346,Serbia,5/15/1999,military facility,airport,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Batajnica,20.2542,44.9346,Serbia,5/16/1999,military units,,0,,http://www.nin.co.rs/arhiva/2525/5.html
Batajnica,20.2542,44.9346,Serbia,5/17/1999,military facility,airport,0,,http://www.nin.co.rs/arhiva/2525/5.html
Batajnica,20.2542,44.9346,Serbia,5/20/1999,military facility,airport,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Batajnica,20.2542,44.9346,Serbia,5/23/1999,military facility,airport,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Batajnica,20.2542,44.9346,Serbia,5/25/1999,military facility,airport,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Batajnica,20.2542,44.9346,Serbia,5/27/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Batajnica,20.2542,44.9346,Serbia,5/28/1999,military facility,airport,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Batajnica,20.2542,44.9346,Serbia,5/29/1999,military facility,airport,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Batajnica,20.2542,44.9346,Serbia,5/31/1999,military facility,airport,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Batajnica,20.2542,44.9346,Serbia,6/4/1999,military facility,airport,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Batajnica,20.2542,44.9346,Serbia,6/8/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Becic,20.8906,42.7536,Kosovo,4/18/1999,military units,,1,military,FHP
Belacevac,21.0236,42.6347,Kosovo,3/24/1999,industry,factory,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Belacevac,21.0236,42.6347,Kosovo,4/19/1999,industry,factory,2,military,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Belacevac,21.0236,42.6347,Kosovo,4/30/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Belacevac,21.0236,42.6347,Kosovo,5/19/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Belgrade, Aberdareva 1",20.47082789,44.81111664,Serbia,4/23/1999,communications,,17,civilian,Bela Knjiga
"Belgrade, Bircaninova",20.4599432,44.80437234,Serbia,4/30/1999,military facility,police,0,,http://www.vreme.com/arhiva_html/vb9/1.html
"Belgrade, Generalstab",20.4577,44.8047,Serbia,4/30/1999,military facility,,1,police/civilian,"Bela Knjiga, HRW, FHP"
"Belgrade, Generalstab",20.4577,44.8047,Serbia,5/7/1999,military facility,,0,,Bela Knjiga
"Belgrade, KBC Dragisa Misovic",20.4594417,44.77971602,Serbia,4/28/1999,military facility,,1,military,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
"Belgrade, KBC Dragisa Misovic",20.4594417,44.77971602,Serbia,5/20/1999,civilian,hospital,11,civilian/military,"Bela Knjiga, FHP"
"Belgrade, Maksima Gorkog 57",20.476,44.7948,Serbia,4/30/1999,civilian,,0,,Bela Knjiga
"Belgrade, MIP",20.45942911,44.80567789,Serbia,5/7/1999,civilian,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Belgrade, Nemanjina 9",20.46122111,44.80572017,Serbia,4/9/1999,government,,0,,Bela Knjiga
"Belgrade, Takovska 10",20.47011958,44.81160172,Serbia,4/23/1999,communications,,0,,Bela Knjiga
"Belgrade, Usicka 15",20.45405552,44.78398154,Serbia,4/22/1999,communications,,0,,Bela Knjiga
"Belgrade, Vardarska 12",20.47970305,44.79555334,Serbia,4/30/1999,civilian,,0,,Bela Knjiga
"Belgrade, Vracar",20.4713,44.8004,Serbia,4/30/1999,military units,,0,,Bela Knjiga
Beli Drim,20.64917084,42.25460425,Kosovo,6/3/1999,infrastructure,bridge,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Belo Polje, Pec",20.2856,42.6411,Kosovo,3/30/1999,military units,,2,military,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Belo Polje, Pec",20.2856,42.6411,Kosovo,4/7/1999,military facility,military,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Belo Polje, Pec",20.2856,42.6411,Kosovo,4/30/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Belo Polje, Pec",20.2856,42.6411,Kosovo,5/29/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Besanijska kosa,20.38222718,44.81767603,Serbia,5/31/1999,infrastructure,grid,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Beska,20.0798,45.1694,Serbia,4/1/1999,infrastructure,bridge,0,,Bela Knjiga
Beska,20.0798,45.1694,Serbia,4/29/1999,infrastructure,bridge,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
