county,id,okrug,okrug_id,year,vote_milosevic,vote_opposition,vote_srs,turnout,bombed,year00,employed_per_1000inh,pop_per_doctor,refugees_perc_pop,minorpc91,femalepc91,pop_chng_98_02,irp,urbanpc91,age20_34pc,illiterate_pc,allen_vincent_2011
CICEVAC,30,RASINSKI,19,1992,33.70350549,18.39710998,25.55525823,80.92,1,0,242,682,0.037849792,0.037764736,0.514501999,-0.048230088,0.031150442,0.459130731,0.177405858,0.037284984,0
COKA,31,SEVERNOBANATSKI,3,1992,12.56650866,8.203540679,16.04914385,86.92,0,0,269,1057,0.042171436,0.672320084,0.511694949,-0.032727273,0.001678322,0.343575968,0.175607287,0.012145749,0
CRNA TRAVA,32,JABLANICKI,23,1992,58.98807075,2.838338132,23.44714109,77.72,0,0,340,700,0.019002375,0.016363157,0.483854434,-0.1990625,0.001875,0,0.123683184,0.104955131,0
CUKARICA,33,BEOGRAD,0,1992,23.21880486,24.54572399,2.187592622,70.1,1,0,195,532,0.131402297,0.12881551,0.510830243,0.045334988,0.030700993,0.842502015,0.216144041,0.009839295,0
CUPRIJA,34,POMORAVSKI,13,1992,33.921743,15.03334815,24.74877723,73.36,1,0,254,177,0.028415103,0.073037913,0.511433654,-0.123577023,0.020678851,0.550852046,0.18351357,0.049602288,0
DESPOTOVAC,35,POMORAVSKI,13,1992,38.63916421,11.86177337,23.97535494,49.9,1,0,167,686,0.028403555,0.058755794,0.504490974,-0.233203593,0.007095808,0.202108549,0.175471477,0.062668385,0
DIMITROVGRAD,36,PIROTSKI,22,1992,42.37134437,13.12627522,12.00408071,28.2,1,0,320,496,0.013715896,0.774466192,0.497330961,-0.067619048,0.005873016,0.539442467,0.179860402,0.029962547,1
DOLJEVAC,37,NISAVSKI,20,1992,56.66515529,13.67036953,42.97211517,85.6,1,0,70,739,0.013406253,0.049075598,0.482441793,-0.050436893,0.007864078,0,0.190225449,0.072031082,0
GADZIN HAN,38,NISAVSKI,20,1992,27.06710605,4.875674056,20.33403235,85.57,1,0,203,513,0.012933025,0.026481909,0.49060816,-0.113220339,0.000847458,0,0.125,0.123566514,1
GOLUBAC,39,BRANICEVSKI,11,1992,40.586216,15.84367573,19.55373647,75.89,0,0,109,1033,0.029808999,0.068328938,0.508591065,-0.194065041,0.002520325,0,0.181882377,0.054877434,0
